id,kind,sp_mean,sp_std,sp_p50,sp_p90,sp_p99,hz_mean,vt_mean,idle_frac,rev_frac,turn_mean,turn_std,straight_w,y_mean,y_std,y_range,ext_x,ext_z,radius_mean,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11
car35,car,0.084301,0.00743283,0.0824924,0.091236,0.0991817,0.0831524,0.00940107,0,0,0,0,0.999696,35.4788,39.6569,123.463,0,1799.92,893.132,0.0000344887,0.000241421,0.000965684,0.993827,0.00413864,0.0000689774,0.000310398,0,0.000172444,0.0000344887,0,0.000206932
car36,car,0.0809193,0.0118809,0.077,0.0873212,0.130115,0.0774365,0.0152076,0,0,0,0,0.999558,73.8534,54.3936,158.406,0,1799.98,601.124,0.0000344899,0.000310409,0.0331793,0.918604,0.0246258,0.0225219,0.000172449,0.000206939,0.00010347,0,0.0000344899,0.000206939
car37,car,0.0829289,0.00874215,0.0805047,0.0929139,0.107713,0.081528,0.0064638,0,0,0,0,0.999789,25.0329,39.9609,118.066,0,1799.9,381.124,0.0000344887,0.000241421,0.00103466,0.957544,0.0403518,0.0000689774,0.000310398,0.0000344887,0.000137955,0.0000344887,0,0.000206932
car38,car,0.089788,0.00769282,0.0883629,0.0943398,0.10617,0.0886803,0.0113613,0,0,0,0,0.999531,95.4484,14.1196,53.717,1799.91,0,1004.42,0.0000344887,0.000241421,0.000758752,0.933678,0.0644594,0.0000689774,0.0000344887,0.000310398,0.000103466,0.0000689774,0.0000344887,0.000206932
car39,car,0.0614778,0.00895121,0.059,0.0680074,0.0923147,0.0592658,0.00705404,0,0,0,0,0.999812,44.1311,69.8457,185.681,1799.94,0,488.876,0.000103466,0.000896706,0.944715,0.0535265,0.000310398,0.000103466,0.000103466,0.0000344887,0,0,0.0000344887,0.000172444
car40,car,0.0981173,0.00946615,0.0960208,0.101514,0.126562,0.0963522,0.0141657,0,0,0,0,0.999691,70.5313,57.3354,155.177,1799.93,0,1062.19,0,0.000206939,0.000482859,0.833276,0.151618,0.0136235,0.0000689798,0.000241429,0.00010347,0.0000689798,0.0000689798,0.000241429
car41,car,0.0892942,0.00775986,0.088,0.0929731,0.106212,0.0885901,0.00880617,0,0,0,0,0.999813,120.845,16.7461,75.994,1799.91,0,888.21,0.0000344887,0.000241421,0.000689774,0.931678,0.0665287,0.0000689774,0.0000689774,0.00027591,0.000103466,0.0000689774,0.0000344887,0.000206932
car42,car,0.0815277,0.0158879,0.077,0.0879659,0.151954,0.0774023,0.0125215,0,0,0,0,0.999367,49.6437,81.6743,241.068,1799.91,0,454.964,0.0000344887,0.000344887,0.0609071,0.897051,0.000206932,0.0143473,0.0266598,0.000137955,0.0000689774,0.0000344887,0,0.000206932
car43,car,0.0657037,0.0154145,0.0610328,0.0708308,0.127063,0.0613574,0.0139009,0,0,0,0,0.99939,76.3869,86.9142,235.706,1799.94,0,563.008,0.0000689774,0.000586308,0.909088,0.0365925,0.0329022,0.0202449,0.000206932,0.0000344887,0.0000344887,0,0.0000344887,0.000206932
car44,car,0.0991673,0.00863968,0.0976217,0.10373,0.118207,0.098433,0.00944135,0,0,0,0,0.99977,119.337,16.4872,75.918,1799.9,0,889.738,0,0.000241421,0.000482842,0.838834,0.159407,0.000241421,0.0000689774,0.000241421,0.0000689774,0.000103466,0.0000689774,0.000241421
car45,car,0.0813573,0.00708025,0.08,0.0850941,0.096,0.0803131,0.00912533,0,0,0,0,0.999734,50.2204,45.7432,121.452,0,1799.92,847.948,0.0000344887,0.000241421,0.00141404,0.996931,0.000586308,0.0000689774,0.000310398,0.0000689774,0.000103466,0.0000344887,0,0.000206932
car46,car,0.073987,0.00658385,0.072111,0.0796241,0.0860058,0.0723631,0.00982694,0,0,0,0,0.999848,43.9791,49.9207,133.32,0,1799.93,636.45,0.0000689774,0.00027591,0.730195,0.268529,0.000172444,0.00027591,0.0000689774,0.000172444,0.0000344887,0,0,0.000206932
car47,car,0.0574305,0.0055339,0.056,0.065,0.0671193,0.0562337,0.00576924,0,0,0,0,0.999817,25.8562,44.0467,129.878,0,1630.55,534.585,0.000172438,0.00096565,0.998,0.000103463,0.000344875,0.000172438,0.0000344875,0,0.0000344875,0,0.0000344875,0.00013795
